# This file is a tab-delimited table of read counts and accession numbers
# for the samples from the winter 2018 S&R experiments with the 68 strain
# community.
# pool                  sample name
# raw_n_pairs           number of read pairs in the raw data
# trimmed_n_pairs       number of read pairs left after quality trimming
# aln_n_reads           number of reads (not pairs!) that aligned to USDA1106 (reference)
# marked_dups           number of reads marked as PCR duplicates by samtools
# dup_rate              proportion of reads that were marked as duplicates
# aln_rate              proportion of trimmed reads that aligned to the reference
# biosample_accession   BioSample for this pool
# sra_accession         SRA accession for this pool         
# description           Brief description of host genotype, community, and other conditions
pool	raw_n_pairs	trimmed_n_pairs	trimmed_rate	aln_n_reads	marked_dups	dup_rate	aln_rate	biosample_accession	sra_accession	description
C8_R108_X5	4116590	3700207	0.898852448264219	5438384	171941	0.0316161933397862	0.734875643443732	SAMN09838962	SRR7699617	M. truncatula R108 nodule community after inoculation with 8 strain mixture, undifferentiated bacteria
C8_R108_X6	4333878	3853033	0.889049714828152	4065724	126262	0.0310552314913654	0.527600464361452	SAMN09838963	SRR7699614	M. truncatula R108 nodule community after inoculation with 8 strain mixture, undifferentiated bacteria
HM340_D1	4725055	4087399	0.865047920077121	6170467	218607	0.0354279505910979	0.754815837651279	SAMN09838964	SRR7699615	M. truncatula R108 nodule community after inoculation with 8 strain mixture, differentiated bacteria
HM340_D2	3771299	3362631	0.891637337691867	5297458	179485	0.0338813445996174	0.787695408743927	SAMN09838965	SRR7699612	M. truncatula R108 nodule community after inoculation with 8 strain mixture, differentiated bacteria
HM340_D3	4219027	3726774	0.883325468170742	4943515	174465	0.0352916902244658	0.663243196394522	SAMN09838966	SRR7699613	M. truncatula R108 nodule community after inoculation with 8 strain mixture, differentiated bacteria
HM340_U1	5057327	4488728	0.887569263367783	4679967	169637	0.0362474778134119	0.521302137264722	SAMN09838967	SRR7699620	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, mutant experiment
HM340_U2	6396154	5689665	0.889544717028389	5888415	292172	0.049618106060799	0.517465878922573	SAMN09838968	SRR7699621	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, mutant experiment
HM340_U3	7076612	6041128	0.853675176765379	7074174	296213	0.0418724504090513	0.585501085227792	SAMN09838969	SRR7699577	M. truncatula R108 nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, mutant experiment
HM_A17_X1	4583043	4124907	0.900036722326192	3805674	114979	0.0302125195169108	0.461304218495108	SAMN09838970	SRR7699576	M. truncatula A17 nodule community after inoculation with HM006-1+M162 strain mixture, undifferentiated bacteria
HM_A17_X2	5218857	4639768	0.889039113353748	2887991	90814	0.0314453888533586	0.311221487798528	SAMN09838971	SRR7699579	M. truncatula A17 nodule community after inoculation with HM006-1+M162 strain mixture, undifferentiated bacteria
HM_A17_X3	4999098	4470132	0.894187711463148	3630570	120145	0.0330925997846068	0.406092034866084	SAMN09838972	SRR7699578	M. truncatula A17 nodule community after inoculation with HM006-1+M162 strain mixture, undifferentiated bacteria
HM_A17_X4	5144103	4601233	0.894467509690222	3387784	105076	0.0310161450670999	0.368138714122932	SAMN09838973	SRR7699573	M. truncatula A17 nodule community after inoculation with HM006-1+M162 strain mixture, undifferentiated bacteria
HM_initial_1	3804795	3372884	0.886482451748386	5764611	209987	0.0364269158838298	0.854552217034443	SAMN09838974	SRR7699572	Initial synthetic community, HM006-1 + M162 mixture
HM_initial_2	2391755	2044065	0.854629759318994	3491774	106788	0.0305827353087571	0.854124991132865	SAMN09838975	SRR7699575	Initial synthetic community, HM006-1 + M162 mixture
HM_initial_3	3777382	3309568	0.876153907653502	5658970	202246	0.0357390125764936	0.854940886544709	SAMN09838976	SRR7699574	Initial synthetic community, HM006-1 + M162 mixture
HM_initial_4	3541342	2972932	0.839493050939446	5071932	171684	0.0338498229077204	0.85301850160044	SAMN09838977	SRR7699581	Initial synthetic community, HM006-1 + M162 mixture
HM_R108_X1	4676432	4135726	0.884376379256664	4599841	160572	0.0349081631299865	0.556110462830468	SAMN09838978	SRR7699580	M. truncatula R108 nodule community after inoculation with HM006-1+M162 strain mixture, undifferentiated bacteria
HM_R108_X2	5190785	4519478	0.870673318197537	5320728	188918	0.0355060435338924	0.588644086772853	SAMN09838979	SRR7699558	M. truncatula R108 nodule community after inoculation with HM006-1+M162 strain mixture, undifferentiated bacteria
HM_R108_X3	5415647	4808618	0.887912007558838	4249462	152979	0.035999615951384	0.441858970706344	SAMN09838980	SRR7699559	M. truncatula R108 nodule community after inoculation with HM006-1+M162 strain mixture, undifferentiated bacteria
HM_R108_X4	4849398	4305880	0.887920521268825	6184701	221258	0.0357750520194913	0.718169224409412	SAMN09838981	SRR7699556	M. truncatula R108 nodule community after inoculation with HM006-1+M162 strain mixture, undifferentiated bacteria
KH_A17_X1	5210243	4669299	0.896176819392109	3247033	98692	0.0303945170868297	0.347700265071909	SAMN09838982	SRR7699557	M. truncatula A17 nodule community after inoculation with KH46c+HM006-1 strain mixture, undifferentiated bacteria
KH_A17_X2	5128707	4573149	0.891676791050844	5049261	176905	0.035035820093277	0.552055159366117	SAMN09838983	SRR7699554	M. truncatula A17 nodule community after inoculation with KH46c+HM006-1 strain mixture, undifferentiated bacteria
KH_A17_X3	4475340	4026514	0.899711306850429	2949164	85136	0.0288678418697638	0.366218023829049	SAMN09838984	SRR7699555	M. truncatula A17 nodule community after inoculation with KH46c+HM006-1 strain mixture, undifferentiated bacteria
KH_A17_X4	4862125	4369172	0.898613672005553	3630771	109572	0.03017871410783	0.415498748962046	SAMN09838985	SRR7699552	M. truncatula A17 nodule community after inoculation with KH46c+HM006-1 strain mixture, undifferentiated bacteria
KH_initial_1	4060398	3614484	0.890179731149508	6269768	229432	0.0365933795317466	0.867311627330485	SAMN09838986	SRR7699553	Initial synthetic community, KH46c + HM006-1 mixture
KH_initial_2	4273278	3824226	0.894916268026559	6643904	251812	0.037901209891052	0.868659958904102	SAMN09838987	SRR7699560	Initial synthetic community, KH46c + HM006-1 mixture
KH_initial_3	2156671	1884358	0.873734565912	3262308	92472	0.0283455761994269	0.86562850583594	SAMN09838988	SRR7699561	Initial synthetic community, KH46c + HM006-1 mixture
KH_initial_4	3534436	3119823	0.882693306654867	5411531	190553	0.0352124010746682	0.86728173361117	SAMN09838989	SRR7699680	Initial synthetic community, KH46c + HM006-1 mixture
KH_R108_X1	4926923	4400978	0.893250818005477	5138311	176193	0.0342900614618305	0.583769221295812	SAMN09838990	SRR7699679	M. truncatula R108 nodule community after inoculation with KH46c+HM006-1 strain mixture, undifferentiated bacteria
KH_R108_X2	5208723	4622726	0.88749699302497	7667889	293646	0.0382955465317769	0.829368753415193	SAMN09838991	SRR7699678	M. truncatula R108 nodule community after inoculation with KH46c+HM006-1 strain mixture, undifferentiated bacteria
KH_R108_X3	4692890	4181219	0.890968891237596	6250042	217599	0.0348156060391274	0.747394719099861	SAMN09838992	SRR7699677	M. truncatula R108 nodule community after inoculation with KH46c+HM006-1 strain mixture, undifferentiated bacteria
KH_R108_X4	4016551	3566889	0.888047730503111	4796859	149377	0.0311405859542672	0.672414953198712	SAMN09838993	SRR7699684	M. truncatula R108 nodule community after inoculation with KH46c+HM006-1 strain mixture, undifferentiated bacteria
MK_A17_X1	5829349	5075768	0.870726388143856	3818957	114829	0.0300681573529108	0.376194991575659	SAMN09838994	SRR7699683	M. truncatula A17 nodule community after inoculation with M162+KH46c strain mixture, undifferentiated bacteria
MK_A17_X2	5893681	5217504	0.885270851951438	2633373	78229	0.0297067677081826	0.252359461535631	SAMN09838995	SRR7699682	M. truncatula A17 nodule community after inoculation with M162+KH46c strain mixture, undifferentiated bacteria
MK_A17_X3	9389965	8219077	0.875304327545417	2423333	81326	0.0335595644511093	0.147421237202182	SAMN09838996	SRR7699681	M. truncatula A17 nodule community after inoculation with M162+KH46c strain mixture, undifferentiated bacteria
MK_A17_X4	4688047	4211074	0.898257632655987	2947258	82006	0.0278245067109836	0.349941368876443	SAMN09838997	SRR7699676	M. truncatula A17 nodule community after inoculation with M162+KH46c strain mixture, undifferentiated bacteria
MK_initial_1	2316765	2052097	0.885759669193897	3545730	103639	0.0292292419332549	0.863928459522138	SAMN09838998	SRR7699675	Initial synthetic community, M162 + KH46c mixture
MK_initial_2	3013477	2672930	0.886992002925524	4626879	145399	0.0314248546374349	0.865506953044038	SAMN09838999	SRR7699661	Initial synthetic community, M162 + KH46c mixture
MK_initial_3	4058437	3649219	0.89916857154614	6332945	228915	0.0361466900470476	0.867712379004932	SAMN09839000	SRR7699662	Initial synthetic community, M162 + KH46c mixture
MK_initial_4	1629467	1395374	0.856337685881334	2412687	62082	0.0257314769798155	0.86453058463179	SAMN09839001	SRR7699663	Initial synthetic community, M162 + KH46c mixture
MK_R108_X1	4448944	3909283	0.878699080051356	6138838	222265	0.0362063634844249	0.785161626825175	SAMN09839002	SRR7699664	M. truncatula R108 nodule community after inoculation with M162+KH46c strain mixture, undifferentiated bacteria
MK_R108_X2	5239266	4662989	0.890008066015354	4326325	139495	0.032243301185186	0.463900408085887	SAMN09839003	SRR7699657	M. truncatula R108 nodule community after inoculation with M162+KH46c strain mixture, undifferentiated bacteria
MK_R108_X3	5880899	5220509	0.887705944278247	3287611	118164	0.0359422084912114	0.314874564913115	SAMN09839004	SRR7699658	M. truncatula R108 nodule community after inoculation with M162+KH46c strain mixture, undifferentiated bacteria
MK_R108_X4	3897089	3492735	0.896242041174836	3566721	100659	0.0282217196130564	0.510591413319361	SAMN09839005	SRR7699659	M. truncatula R108 nodule community after inoculation with M162+KH46c strain mixture, undifferentiated bacteria
MPC12_D1	4084497	3656843	0.895298246026377	6102742	209390	0.0343108065194301	0.834427674362831	SAMN09839006	SRR7699660	M. truncatula R108 5 npd gene knockout nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
MPC12_D2	5810885	5226624	0.89945404185421	8635864	378899	0.0438750540768127	0.826141692993412	SAMN09839007	SRR7699655	M. truncatula R108 5 npd gene knockout nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
MPC12_D3	3500760	3138220	0.896439630251717	5409951	173690	0.0321056512341794	0.861945784553027	SAMN09839008	SRR7699656	M. truncatula R108 5 npd gene knockout nodule community after inoculation with 68 strain mixture, differentiated bacteria, mutant experiment
MPC12_U1	5325688	4784625	0.89840505114081	8249948	353916	0.0428991794857374	0.862131097003422	SAMN09839009	SRR7699633	M. truncatula R108 5 npd gene knockout nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, mutant experiment
MPC12_U2	5545294	4829010	0.870830293217997	8061268	431733	0.0535564628294209	0.834670874568493	SAMN09839010	SRR7699632	M. truncatula R108 5 npd gene knockout nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, mutant experiment
MPC12_U3	3704739	3321878	0.896656417631579	5806020	193891	0.0333948212372675	0.87390626627468	SAMN09839011	SRR7699634	M. truncatula R108 5 npd gene knockout nodule community after inoculation with 68 strain mixture, undifferentiated bacteria, mutant experiment
